question_id,question,expected_answer,answer,answer_correctness,context_precision,context_recall,faithfulness,status
19,What is the down payment amount?,95000,The down payment amount cannot be determined from the supplied contexts.,0.0,0.249999999975,0.0,0.0,complete
20,How much earnest money deposit was credited?,5000,"$5,000",1.0,0.49999999995,1.0,1.0,complete
21,Were any closing costs financed into the loan?,0,"No, closing costs were not financed into the loan.",1.0,0.9999999999,1.0,1.0,complete
22,How much are the services you can shop for on the Loan Estimate?,2335,The supplied contexts do not contain enough evidence to determine how much the services you can shop for on the Loan Estimate are.,0.0,0.0,0.0,1.0,complete
23,What does the home inspection cost?,450,The home inspection costs $450.,1.0,0.99999999995,1.0,1.0,complete
24,How much is the closing and escrow fee?,860,The answer cannot be determined from the supplied contexts.,0.0,0.0,0.0,0.0,complete
25,What is the lender's title insurance premium?,650,$650.00,1.0,0.2916666666520833,1.0,1.0,complete
26,How much are the notary fees?,150,The notary fees are $150.,1.0,0.99999999995,1.0,1.0,complete
27,What is the appraisal fee on the Loan Estimate?,525,The appraisal fee on the Loan Estimate is $525.,1.0,0.19999999998,1.0,1.0,complete
28,How much is the credit report fee?,25,The credit report fee is $25.,1.0,0.8333333332916666,1.0,1.0,complete
29,What is the flood certification fee?,20,The flood certification fee is $20.,1.0,0.99999999995,1.0,1.0,complete
30,How much is the origination charge total?,1070,"$1,070",1.0,0.5833333333041666,1.0,1.0,complete
31,What is the underwriting fee?,550,The underwriting fee is $550.,1.0,0.99999999995,1.0,1.0,complete
32,What does the administration fee come to?,445,$445,1.0,0.99999999995,1.0,1.0,complete
33,How much is the wire transfer fee on the Loan Estimate?,75,$75,1.0,0.9999999999,1.0,1.0,complete
34,What are the total government recording fees and taxes?,150,$150,1.0,0.9999999999,1.0,1.0,complete
35,How much are the total prepaids at closing?,1597,"$1,121.53",0.0,0.19999999998,1.0,1.0,complete
36,How many months of homeowner's insurance are collected upfront?,12,12 months.,0.6666666666666666,0.49999999995,1.0,1.0,complete
37,What is the prepaid homeowner's insurance premium amount?,475,$475,1.0,0.8333333332916666,1.0,1.0,complete
38,How much is the prepaid interest?,1122,"$1,122",1.0,0.9999999999,1.0,0.0,complete
39,What is the services you cannot shop for total?,650,The answer cannot be determined from the supplied contexts.,0.0,0.0,0.0,0.0,complete
40,What is the Annual Percentage Rate?,4.329%,4.329%,1.0,0.99999999995,1.0,1.0,complete
41,What is the Total Interest Percentage over the life of the loan?,77.39%,77.39%,1.0,0.99999999995,1.0,1.0,complete
42,How much principal will be paid off in 5 years?,34931,"$34,931",1.0,0.9999999999,1.0,1.0,complete
43,What is the total amount paid after 5 years including all costs?,117339,The answer cannot be determined from the supplied contexts.,0.0,0.4499999999775,1.0,0.0,complete
44,How many days is the grace period before a late fee kicks in?,15,The answer cannot be determined from the supplied contexts.,0.0,0.9999999999,0.0,0.0,complete
45,What percentage is the late fee?,6%,6%,1.0,0.9999999999,1.0,1.0,complete
46,Is homeowner's insurance required for this loan?,YES,"Yes, this loan requires homeowner's insurance on the property.",0.6666666666666666,0.8055555555287036,1.0,1.0,complete
47,Which lender is originating this loan?,XYZ Lender,XYZ Lender.,1.0,0.5666666666525,1.0,1.0,complete
48,What is the per diem interest charge on the Fees Worksheet?,44.8611,The per diem interest charge on the Fees Worksheet is $44.86.,0.6666666666666666,0.499999999975,1.0,1.0,complete
49,What loan program is shown on the Fees Worksheet?,30 YEAR FIXED -Purchase,30 YEAR FIXED -Purchase,1.0,0.9999999999,1.0,1.0,complete
50,What is the total estimated monthly payment including taxes and insurance on the Fees Worksheet?,2308.95,"$2,308.95",1.0,0.49999999995,1.0,1.0,complete
51,How much are the real estate taxes per month on the Fees Worksheet?,400.00,$400.00,1.0,0.249999999975,1.0,1.0,complete
52,What is the title officer's email address on the Preliminary Title Report?,titleteam@ticortitle.com,titleteam@ticortitle.com,1.0,0.99999999995,1.0,1.0,complete
53,What property is covered in the Preliminary Title Report?,"1234 First Street, San Diego, CA 92101","The Preliminary Title Report covers the property located at 1234 First Street, San Diego, CA 92101.",1.0,0.49999999995,1.0,1.0,complete
54,Which title company issued the preliminary report?,Ticor Title Company of California,Ticor Title Company of California.,1.0,0.9999999999833333,1.0,1.0,complete
55,Who is the title officer on this file?,Best Title Officer,Best Title Officer,1.0,0.3333333333,1.0,1.0,complete
56,What is the effective date and time of the title search?,"June 13, 2013 at 7:30 a.m.","June 13, 2013 at 7:30 a.m.",1.0,0.2916666666520833,1.0,1.0,complete
57,Who currently holds title to the property on the Preliminary Title Report?,"John J. Seller and Jane G. Seller, husband and wife as joint tenants",The answer cannot be determined from the supplied contexts.,0.0,0.0,0.0,1.0,complete
58,What is the APN for the title report property?,370-200-01,370-200-01,1.0,0.7499999999625,1.0,1.0,complete
59,What map number is referenced in the legal description?,7236,Map No. 7236.,1.0,0.49999999995,1.0,1.0,complete
60,What is the recording number for the utility easement granted to SDG&E?,172707,172707,1.0,0.9999999999,1.0,1.0,complete
61,When was the utility easement recorded?,"July 5, 1972","The utility easement was recorded on July 5, 1972.",1.0,0.9999999999,1.0,1.0,complete
62,What is the recording number for the CC&Rs?,79249,The answer cannot be determined from the supplied contexts.,0.0,0.0,0.0,1.0,complete
63,What fiscal year are the property taxes assessed for on the title report?,2012-2013,2012-2013,1.0,0.9999999999,1.0,1.0,complete
64,What corporation issues the title insurance policies referenced in the preliminary report?,"Chicago Title Insurance Company, a Nebraska Corporation","Chicago Title Insurance Company, a Nebraska Corporation.",1.0,0.8333333332916666,1.0,1.0,complete
65,What type of estate or interest is covered in the Preliminary Title Report?,A fee as to parcel 1 and an easement as to parcel 2,A fee as to parcel 1 and an easement as to parcel 2.,0.6666666666666666,0.0,1.0,1.0,complete
66,What policy forms are contemplated by the Preliminary Title Report?,ALTA Homeowners Policy (2-3-10) ALTA Extended Loan Policy (6-17-06),The Preliminary Title Report contemplates the ALTA Homeowners Policy (2-3-10) and the ALTA Extended Loan Policy (6-17-06).,1.0,0.49999999995,1.0,1.0,complete
67,In which city and county is the property in the legal description?,"City of San Diego, County of San Diego, State of California","The property is located in the City of San Diego, County of San Diego.",0.8,0.9999999999,1.0,1.0,complete
68,What tax code area is the property in?,08001,08001,1.0,0.9999999999,1.0,1.0,complete
69,"Who is the beneficiary on the deed of trust recorded June 5, 2007?","Wells Fargo Bank, N.A.","Wells Fargo Bank, N.A.",1.0,0.9999999999,1.0,1.0,complete
70,What was the original amount of the 2007 deed of trust?,150000.00,"$150,000.00",1.0,0.9999999999,1.0,1.0,complete
71,"When was the $305,000 deed of trust recorded?","June 15, 2006","June 15, 2006",1.0,0.9999999999,1.0,1.0,complete
72,What is the loan account number for the credit line deed of trust?,651-651-1597533-1998,651-651-1597533-1998,1.0,0.9999999999,1.0,1.0,complete
73,"Who is the trustee on the older $305,000 deed of trust?",Ticor Title Company,Ticor Title Company,1.0,0.49999999995,1.0,1.0,complete
74,What is the ABA routing number for wiring funds to the title company?,122235821,122235821,1.0,0.9999999999,1.0,1.0,complete
75,What bank receives the wire transfers for the title company?,US Bank,US Bank.,1.0,0.9999999999,1.0,1.0,complete
76,Where should reconveyance documents be mailed after payoff?,"2878 Camino Del Rio South, Suite 500 San Diego, CA 92108","Reconveyance or Release of Lien should be sent to Ticor Title Company of California, Attn: Ref: CYTEST-995-, 2878 Camino Del Rio South, Suite 500, San Diego, CA 92108.",0.5,0.49999999995,1.0,1.0,complete
77,What is the property address on the credit line closure request?,"1234 First Street, San Diego, CA 92101","1234 First Street, San Diego, CA 92101",1.0,0.99999999995,1.0,1.0,complete
78,When was the preliminary title transmittal generated?,"June 13, 2013","June 13, 2013",1.0,0.6666666666333333,1.0,1.0,complete
79,What time was the transmittal stamped?,3:44 PM,"June 13, 2013 at 3:44 PM.",1.0,0.49999999995,1.0,1.0,complete
80,What is the ending balance on the bank statement?,51176.35,"51,176.35",1.0,0.9999999999,1.0,1.0,complete
81,What was the beginning balance?,13679.61,"13,679.61",1.0,0.9999999999,1.0,1.0,complete
82,What is the minimum depth below surface for mineral extraction operations?,five hundred (500) feet,All mineral extraction operations must be conducted below a depth of five hundred (500) feet below the surface.,1.0,0.9999999999,1.0,1.0,complete
83,What is the total of electronic deposits on the bank statement?,217653.02,"The total of electronic deposits on the bank statement is $217,653.02.",1.0,0.3333333333,1.0,1.0,complete
84,How much went out in electronic payments?,166112.54,"$166,112.54",1.0,0.9999999999,1.0,1.0,complete
85,What is the account number on the TD Bank statement?,435-4366572,435-4366572,1.0,0.9999999999,1.0,1.0,complete
86,What is the average collected balance for the statement period?,3256.66,"3,256.66",1.0,0.9999999999,1.0,1.0,complete
87,How many days are in the bank statement period?,31,31,1.0,0.8333333332916666,1.0,1.0,complete
88,How much was the check deposit from Larson Contractors?,3750.00,"3,750.00",1.0,0.9999999999,1.0,1.0,complete
89,How much was the check deposit from A D Real Estate Investors on July 12th?,"4,245.00","4,245.00",1.0,0.9999999999,1.0,1.0,complete
90,How much is in other credits on the bank statement?,515.87,The answer cannot be determined from the supplied contexts.,0.0,0.0,0.0,1.0,complete
91,What is the total of other withdrawals?,44413.00,"44,413.00",1.0,0.9999999999,1.0,1.0,complete
92,What is the statement period covered?,Jul 01 2018 - JUL 31 2018,"Oct 13, 2024 to Oct 26, 2024",0.0,0.49999999995,1.0,1.0,complete
93,What lot number is Parcel No 1 in Villa Barbados North Unit No. 1?,Lot 58,The answer cannot be determined from the supplied contexts.,0.0,0.0,0.0,0.0,complete
94,To whom was the utility easement granted?,San Diego Gas and Electric Company,San Diego Gas and Electric Company.,1.0,0.9999999999,1.0,1.0,complete
95,What is the recording date of the CC&Rs?,"March 31, 1972",The answer cannot be determined from the supplied contexts.,0.0,0.0,0.0,1.0,complete
96,What is the status of the 1st installment of property taxes?,Paid,The 1st installment of property taxes is paid.,1.0,0.9999999999,1.0,1.0,complete
97,What is the status of the 2nd installment of property taxes?,Open (Delinquent after April 10),"The 2nd installment of property taxes is $961.67 and is open, meaning it is delinquent after April 10.",0.8,0.9999999999,1.0,1.0,complete
98,What is the homeowner's exemption amount on the title report?,7000.00,"$7,000.00",0.6666666666666666,0.49999999995,1.0,1.0,complete
99,What is the penalty and cost on the delinquent taxes?,106.16,$106.16,1.0,0.9999999999,1.0,1.0,complete
100,"What is the recording number for the $150,000 deed of trust?",2007-316852,2007-316852,1.0,0.9999999999,1.0,1.0,complete
101,"Who is the trustee on the $150,000 deed of trust?",American Securities Company,American Securities Company.,1.0,0.49999999995,1.0,1.0,complete
102,"When was the $305,000 deed of trust dated?","June 2, 2006","June 2, 2006",1.0,0.7499999999625,1.0,1.0,complete
103,What is the recording number for the open space easement?,249792,249792,1.0,0.9999999999,1.0,1.0,complete
104,Who reserved the open space easement?,"Community Builders, a California corporation","Community Builders, a California corporation.",1.0,0.9999999999,1.0,1.0,complete
105,"When was the $150,000 deed of trust dated?","May 3, 2007","May 3, 2007",1.0,0.9999999999,1.0,1.0,complete
106,What document does the title company require to complete the title search?,Statement of Information,The Statement of Information is necessary to complete the search and examination of title.,1.0,0.9999999999,1.0,1.0,complete
107,Who needs to complete the Statement of Information?,Buyers and Sellers,Buyers and Sellers need to complete the Statement of Information.,1.0,0.9999999999,1.0,1.0,complete
108,What percentage of the title premium does Ticor Title pay to its underwriter?,12%,Ticor Title Company of California pays its underwriter 12% of the title premium.,1.0,0.9999999999,1.0,1.0,complete
109,What CLTA Endorsement Form will the Company attach to an ALTA Loan Policy?,CLTA Endorsement Form 100,CLTA Endorsement Form 100.,1.0,0.9999999999,1.0,1.0,complete
110,What is the employee name for Employee ID 007?,James Bond,James Bond,1.0,0.9999999999,1.0,1.0,complete
111,What is James Bond's basic pay?,8000,"James Bond's basic pay is 8000 in one pay slip, 3400 in another, and 10000 in a third.",0.5,0.49999999995,1.0,0.6666666666666666,complete
112,How much allowance does James Bond receive?,500,James Bond receives an allowance of 500.,1.0,0.26666666665333333,1.0,1.0,complete
113,How much overtime was paid to James Bond?,300,"The contexts provide multiple pay slips for James Bond, each showing different overtime amounts. Therefore, the total overtime paid to James Bond cannot be determined from the supplied contexts.",0.0,0.49999999995,1.0,0.3333333333333333,complete
114,What is James Bond's net pay?,8000,James Bond's net pay is $8000 according to one pay slip and $3380 according to another.,0.6666666666666666,0.49999999995,1.0,0.5,complete
115,Who is the employee at Unknown and Co.?,Joe Boe,Joe Boe,1.0,0.9999999999,1.0,1.0,complete
116,What is Joe Boe's basic pay?,3400,The answer cannot be determined from the supplied contexts.,0.0,0.5833333333041666,0.0,0.0,complete
117,What is the net pay written in words on Joe Boe's pay slip?,Three Thousand Three Hundred And Eighty,The answer cannot be determined from the supplied contexts.,0.0,0.3333333333,0.0,1.0,complete
118,Who is the employee on the Tech Mahindra pay slip?,Akshay Chungade,James Bond,0.0,0.0,0.0,0.0,complete
119,Are there any conveyances affecting the land within 24 months of the report?,"No, there are NO conveyances recorded within 24 months",There are NO conveyances affecting said Land recorded within 24 months of the date of this report.,1.0,0.9999999999,1.0,1.0,complete
120,How much federal tax was withheld on the Tech Mahindra pay slip?,198.94,The federal tax withheld was 198.94.,1.0,0.19999999998,1.0,1.0,complete
121,What is the CPP deduction for this pay period?,82.51,82.51,1.0,0.9999999999,1.0,1.0,complete
122,How much is the EI deduction?,25.03,The EI deduction is 25.03.,1.0,0.9999999999,1.0,1.0,complete
123,What are the total deductions on Akshay's pay stub?,306.48,$306.48,1.0,0.9999999999,1.0,1.0,complete
124,Does the title company accept ACH transfers?,"No, the office does not accept ACH transfers","No, the title company does not accept ACH transfers.",1.0,0.9999999999,1.0,1.0,complete
125,What is the hourly rate on the Tech Mahindra pay slip?,18.200,18.200,1.0,0.49999999995,1.0,1.0,complete
126,How much is the life insurance benefit for the current period?,8.30,8.30,1.0,0.9999999999,1.0,1.0,complete
127,What is the dental benefit amount?,72.44,72.44,1.0,0.9999999999,1.0,1.0,complete
128,What is the sequence number on Akshay's pay slip?,204238038,204238038,1.0,0.16666666665,1.0,1.0,complete
129,What is the pay period on the Tech Mahindra pay slip?,"Oct 13, 2024 to Oct 26, 2024","Oct 13, 2024 to Oct 26, 2024",1.0,0.49999999995,1.0,1.0,complete
130,What must the borrower sign and return regarding the equity line?,Equity Line/Credit Line Affidavit provided with the report,The borrower must sign and return the Equity Line/Credit Line Affidavit.,0.8,0.9999999999,1.0,1.0,complete
131,How many working days may the principal difference be held if requirements are not met?,10 working days,10 working days.,1.0,0.9999999999,1.0,1.0,complete
132,What is the account name for wire transfers to the title company?,Ticor Title Company of California,Ticor Title Company of California,1.0,0.9999999999,1.0,1.0,complete
133,What is the address of the bank receiving wire transfers?,"535 Westminster Mall, Westminster, CA 92683","US Bank, ABA (Routing) Number: 122235821.",0.0,0.9999999999,1.0,1.0,complete
134,What is the street address of the Chief Privacy Officer?,601 Riverside Avenue,"601 Riverside Avenue Jacksonville, FL 32204",1.0,0.9999999999,1.0,1.0,complete
135,Can the company disclose Personal Information to insurance regulatory authorities?,"Yes, to an insurance regulatory authority or a law enforcement or other governmental authority","Yes, the company can disclose Personal Information to an insurance regulatory authority.",0.5,0.9999999999,1.0,1.0,complete
136,What types of information does FNF collect from applications?,"name, address, social security number, tax identification number, asset information, and income information","FNF collects name, address, social security number, tax identification number, asset information, and income information from applications.",1.0,0.9999999999,1.0,1.0,complete
137,What does TTCC stand for in the Discount Notice?,Ticor Title Company of California,TTCC stands for Ticor Title Company of California.,1.0,0.6333333333122222,1.0,1.0,complete
138,What does CTIC stand for in the Discount Notice?,Chicago Title Insurance Company,CTIC stands for Chicago Title Insurance Company.,0.6666666666666666,0.9999999999,1.0,1.0,complete
139,What California Code section requires delivery of the discount notice?,Section 2355.3 in Title 10 of the California Code of Regulations,Section 2355.3 in Title 10 of the California Code of Regulations.,1.0,0.9999999999,1.0,1.0,complete
140,What is the effective through date on the discount notice?,"November 1, 2014","November 1, 2014",1.0,0.9999999999,1.0,1.0,complete
141,Can a customer receive multiple $20 discounts?,"Yes, if you had more than one qualifying transaction you may be entitled to multiple discounts","Yes, a customer may be entitled to multiple $20 discounts if they had more than one qualifying transaction.",1.0,0.8666666666377778,1.0,1.0,complete
142,Where should the $20 discount request form be sent?,"Ticor Title Company of California, 2878 Camino Del Rio South, Suite 500, San Diego, CA 92108","The $20 discount request form should be sent to Ticor Title Company of California, 2878 Camino Del Rio South, Suite 500, San Diego, CA 92108.",0.6666666666666666,0.9999999999,1.0,1.0,complete
143,What is the deductible for Covered Risk 16 on the homeowner's policy?,"1% of Policy Amount or $5,000.00 (whichever is less)","1% of Policy Amount Shown in Schedule A or $2,500.00",0.0,0.49999999995,1.0,0.5,complete
144,What is the deductible for Covered Risk 18 on the expanded loan policy?,"1% of Policy Amount Shown in Schedule A or $5,000.00 (whichever is less)","1% of Policy Amount or $2,500.00 (whichever is less)",0.0,0.3333333333,1.0,1.0,complete
145,What is the maximum dollar limit for Covered Risk 16 on the expanded loan policy?,"$10,000.00","$25,000.00",0.0,0.3333333333,1.0,0.0,complete
146,What is the purpose of the Affidavit - Uninsured Deed?,For the protection and benefit of the grantee and for inducing Chicago Title Insurance Company to insure title,"The purpose of the Affidavit - Uninsured Deed is for the protection and benefit of the grantee, their successors and assigns, and other parties dealing with or acquiring an interest in the property, and to induce the Title Company to insure title to the property.",0.5,0.9999999999,1.0,1.0,complete
147,Which county's Official Records are referenced in the Affidavit?,"San Diego County, California","San Diego County, California.",0.6666666666666666,0.9999999999,1.0,1.0,complete
148,What title order number is referenced in the Affidavit about liens?,CYTEST-995-,CYTEST-995-,1.0,0.9166666666361111,1.0,1.0,complete
149,What California law governs the Certification of Trust?,California Probate Code Section 18100.5,California Probate Code Section 18100.5.,1.0,0.9999999999,1.0,1.0,complete
150,What is the purpose of the credit line closure request letter?,To close/freeze the credit line or equity line of credit,The purpose of the credit line closure request letter is to formally request the closure or freezing of a credit line or equity line of credit.,0.33333333333333337,0.91666666664375,1.0,1.0,complete
151,What is the property address on the transmittal?,"1234 FIRST STREET, SAN DIEGO, CA 92101","1234 First Street, San Diego, CA 92101",1.0,0.7499999999625,1.0,1.0,complete
152,How much was the check deposit from A D Real Estate Investors?,"4,245.00","4,245.00",1.0,0.9999999999,1.0,1.0,complete
153,What is the name on the resume?,John W. Smith,John W. Smith,1.0,0.9999999999,1.0,1.0,complete
154,Which university did John W. Smith attend?,"University of Arkansas at Little Rock, Little Rock, AR",University of Arkansas at Little Rock.,0.6666666666666666,0.9999999999,1.0,1.0,complete
155,What is the contact email on the resume?,jwsmith@colostate.edu,jwsmith@colostate.edu,1.0,0.9999999999,1.0,1.0,complete
156,What is the GPA in Early Childhood Development?,3.8,3.8,1.0,0.9999999999,1.0,1.0,complete
157,What degrees does John W. Smith hold?,BA in Elementary Education and BS in Early Childhood Development,John W. Smith holds a BA in Elementary Education and a BS in Early Childhood Development.,1.0,0.9999999999,1.0,1.0,complete
158,How much was the check deposit from JHACS Electrical?,"3,800.00","3,800.00",1.0,0.9999999999,1.0,1.0,complete
159,How much was the check deposit from Vidales and Sons?,"3,758.00","3,758.00",1.0,0.9999999999,1.0,1.0,complete
160,What was the ATM deposit amount on July 31st?,"2,678.39","$2,678.39",1.0,0.9999999999,1.0,1.0,complete
161,What is the annual percentage yield earned on the bank account?,0.00%,0.00%,1.0,0.9999999999,1.0,1.0,complete
162,What is the interest earned this period on the bank statement?,0.00,0.00,1.0,0.49999999995,1.0,1.0,complete
163,What is the estimated closing costs amount on the Fees Worksheet?,"4,520.00","The estimated closing costs amount on the Fees Worksheet is $4,520.00.",1.0,0.3333333333,1.0,1.0,complete
164,What is the estimated prepaid items and reserves on the Fees Worksheet?,"1,121.53","$1,121.53",1.0,0.49999999995,1.0,1.0,complete
165,What is the cash deposit amount shown on the Fees Worksheet?,"5,000.00","$5,000.00",1.0,0.5833333333041666,1.0,1.0,complete
166,What is the hazard insurance premium total on the Fees Worksheet?,475.00,$475.00,1.0,0.8333333332916666,1.0,1.0,complete
167,How many days of daily interest charges are shown on the Fees Worksheet?,25,25 days.,1.0,0.8333333332916666,1.0,1.0,complete
168,What is the mortgage recording charge on the Fees Worksheet?,150.00,$150.00,1.0,0.4499999999775,1.0,1.0,complete
169,Who prepared the Fees Worksheet?,XYZ Lender,XYZ Lender prepared the Fees Worksheet.,1.0,0.9999999999,1.0,1.0,complete
170,What is the application number on the Fees Worksheet?,samplesmith,samplesmith,1.0,0.9999999999,1.0,1.0,complete
171,What date was the Fees Worksheet prepared?,10/05/2015,10/05/2015,1.0,0.9999999999,1.0,1.0,complete
172,What is John W. Smith's GPA in Elementary Education?,3.5,3.5,1.0,0.9999999999,1.0,1.0,complete
173,How many volunteer workers did John W. Smith manage?,25,John W. Smith managed 25 volunteer workers.,1.0,0.9999999999,1.0,1.0,complete
174,What is John W. Smith's address on the resume?,"2002 Front Range Way Fort Collins, CO 80525","2002 Front Range Way Fort Collins, CO 80525",1.0,0.9999999999,1.0,1.0,complete
175,Where was John W. Smith a Teacher's Assistant?,"Cowell Elementary, Conway, Arkansas","Cowell Elementary, Conway, Arkansas.",1.0,0.9999999999,1.0,1.0,complete
176,What is the total earnings on James Bond's pay slip?,8800,8800,1.0,0.49999999995,1.0,1.0,complete
177,How long is the probationary period in the employment contract?,6 months,The probationary period is six months.,1.0,0.49999999995,1.0,1.0,complete
178,How many days notice is required during the probationary period?,7 days,At least seven days notice is required for a probationer.,1.0,0.4499999999775,1.0,1.0,complete
179,What is the pay date on James Bond's pay slip?,2025/07/17,2025/07/17,1.0,0.9999999999,1.0,1.0,complete
180,What is the total earnings on Joe Boe's pay slip?,4110,The answer cannot be determined from the supplied contexts.,0.0,0.3333333333,1.0,0.0,complete
181,What are the standard working hours per day per the contract?,8 hours,8 hours a day excluding meal breaks.,1.0,0.9999999999,1.0,1.0,complete
182,What is the overtime rate multiplier?,1.5 times,1.5,1.0,0.49999999995,1.0,0.0,complete
183,After how many days of work is the employee entitled to a rest day?,6 days,One day rest period after six days of work.,0.6666666666666666,0.9999999999,1.0,1.0,complete
184,When does the night shift premium start?,10 PM,The answer cannot be determined from the supplied contexts.,0.0,0.0,0.0,0.0,complete
185,When does the night shift premium end?,8 AM,The answer cannot be determined from the supplied contexts.,0.0,0.0,0.0,0.0,complete
186,What safety equipment must the employer provide at no cost?,Personal Protective Equipment (PPE),All Personal Protective Equipment (PPE) required for the occupation.,1.0,0.9999999999,1.0,1.0,complete
187,How much is the fee reduction under the settlement program on the Discount Notice?,20.00,$20.00,1.0,0.8666666666377778,1.0,1.0,complete
188,What discount do churches get on an owner's title policy?,50% to 70%,"Churches receive a discount of 50% to 70% of the appropriate title insurance rate for an owner's policy, depending on the type of coverage selected.",0.6666666666666666,0.9999999999,1.0,1.0,complete
189,What discount do churches get on a lender's policy?,40% to 50%,"The charge for a lender's policy for churches or charitable non-profit organizations is 40% to 50% of the appropriate title insurance rate, depending on the type of coverage selected.",0.6666666666666666,0.9999999999,1.0,1.0,complete
190,What is the discount percentage for disaster relief loans?,50%,"The charge for a lender's Policy covering the financing or refinancing by an owner of record, within 24 months of the date of a declaration of a disaster area by the government of the United States or the State of California on any land located in said area, which was partially or totally destroyed in the disaster, will be 50% of the appropriate title insurance rate.",0.28571428571428575,0.49999999995,1.0,1.0,complete
191,What is Joe Boe's employee ID?,0211,0211,1.0,0.9999999999,1.0,1.0,complete
192,What is the qualifying start date for the $20 discount?,"May 19, 1995","May 19, 1995",1.0,0.499999999975,1.0,1.0,complete
193,What is the end date for the $20 discount qualifying period?,"November 1, 2002","November 1, 2002.",1.0,0.7499999999625,1.0,1.0,complete
194,What is the effective date of the discount schedule?,1-10-2010,"The effective date of the discount schedule is November 1, 2014.",0.0,0.19999999998,1.0,0.0,complete
195,Who is the Chief Privacy Officer's employer according to the Privacy Statement?,"Fidelity National Financial, Inc.","Fidelity National Financial, Inc.",1.0,0.9999999999,1.0,0.0,complete
196,Where is the Chief Privacy Officer located?,"Jacksonville, FL 32204","The Chief Privacy Officer is located at 601 Riverside Avenue, Jacksonville, FL 32204.",1.0,0.9999999999,1.0,1.0,complete
197,What is the deductible for Covered Risk 14 on the homeowner's policy?,"$2,500.00","1% of Policy Amount or $2,500.00.",0.6666666666666666,0.49999999995,1.0,0.5,complete
198,What is the maximum liability for Covered Risk 14?,"$10,000.00","$10,000.00",1.0,0.9999999999,1.0,1.0,complete
199,What is the maximum liability for Covered Risk 15 in the Insurance Policy?,"$25,000.00","$25,000.00",1.0,0.9999999999,1.0,1.0,complete
200,What is the maximum dollar limit for Covered Risk 18?,"$5,000.00","$5,000.00",1.0,0.49999999995,1.0,1.0,complete
201,What is the percentage-based deductible for Covered Risk 16 on the expanded loan policy?,1%,"1% of Policy Amount or $2,500.00",1.0,0.5833333333041666,1.0,1.0,complete
202,What is the pay date on Joe Boe's pay slip?,2012/09/10,2012/09/10,1.0,0.9999999999,1.0,1.0,complete
203,What is the employee number on the Tech Mahindra pay slip?,995353,995353,1.0,0.49999999995,1.0,1.0,complete
204,What is the payroll number on the Tech Mahindra pay slip?,M03715,M03715,1.0,0.49999999995,1.0,1.0,complete
205,What are the deduction components on Akshay Chungade's pay stub?,"Federal Tax 198.94, CPP 82.51, EI 25.03",The deduction components on Akshay Chungade's pay stub are not specified in the provided contexts.,0.0,0.0,0.0,1.0,complete
